rc,dg,pathway
0,0,3
3,-2.8,3
6,3.8,3
9,-17.2,3
12,5.7,3
15,0,3
18,-2.7,3
21,15.4,3
24,23.2,3
27,-13.8,3
30,-13.3,3
33,0.4,3
36,-28.9,3
39,-14,3
42,-19.7,3
45,-16.1,3
15,0,2
24,38.9,2
21,15.4,1
24,26.9,1
